Customer ID,Home Location,Transactions in Last 24h,Locations Used,Unusual Locations
C001,City A,City A,1,No
C002,City B,Multiple Cities,5,Yes
C003,City C,City C,1,No
C004,City D,City D,1,No
C005,City E,City E,1,No
C006,City F,City F,1,No
C007,City G,City G,1,No
C008,City H,City H,1,No
C009,City I,City I,1,No
C010,City J,City J,1,No
C011,City K,City K,1,No
C012,City L,City L,1,No
C013,City M,City M,1,No
C014,City N,City N,1,No
C015,City D,Multiple Cities,8,Yes
C016,City O,City O,1,No
C017,City P,City P,1,No
C018,City Q,City Q,1,No
C019,City R,City R,1,No
C020,City S,City S,1,No
C021,City T,City T,1,No
C022,City U,City U,1,No
C023,City E,Multiple Countries,3,Yes
C024,City V,City V,1,No
C025,City W,City W,1,No
C026,City X,City X,1,No
C027,City Y,City Y,1,No
C028,City Z,City Z,1,No
C029,City AA,City AA,1,No
C030,City F,City F,1,No
